,label_key,cluster,n_cells,n_markers,logfc_mean,auc_mean,is_meaningful,markers_str,pred_markers_str,pred_nmarkers,pred_ctype
0,cell_type,cd4-t-helper,575,0,,,False,,,0,Tcm/Naive helper T cells
1,cell_type,memory-t,640,1,2.0893290042877197,0.8211982096495023,False,S100A4,S100A4,1,Treg(diff)
2,cell_type,naive-cytotoxic,490,2,8.810758590698242,0.7860472348224133,False,CD8B;RP11-291B21.2,CD8B,1,Tcm/Naive cytotoxic T cells
3,cell_type,naive-t,647,0,,,False,,,0,Tcm/Naive helper T cells
4,cell_type,regulatory-t,599,1,1.6441586017608643,0.7120647507751013,False,DUSP1,,0,Tcm/Naive helper T cells
5,MultiK,0,1319,6,1.7614936828613281,0.7794563982964288,False,S100A4;IL32;SH3BGRL3;B2M;S100A10;DUSP1,S100A4;IL32,2,Tem/Effector helper T cells
6,MultiK,1,1148,0,,,False,,,0,Tcm/Naive helper T cells
7,MultiK,5,480,2,9.2633638381958,0.7915431613971085,False,CD8B;RP11-291B21.2,CD8B,1,Tcm/Naive cytotoxic T cells
8,ChooseR,14,478,2,17.982057571411133,0.7898059749432353,False,CD8B;RP11-291B21.2,CD8B,1,Tcm/Naive cytotoxic T cells
9,ChooseR,5,898,2,1.5664691925048828,0.7422118974205862,False,S100A4;IL32,S100A4;IL32,2,Tem/Effector helper T cells
10,ChooseR,6,368,13,1.0895965099334717,0.7619848825249202,True,S100A4;IL32;B2M;HLA-A;PFN1;SH3BGRL3;TMSB4X;ACTB;CD52;ACTG1;GAPDH;S100A10;CFL1,HLA-A;B2M;ACTB,3,Tcm/Naive cytotoxic T cells
11,ChooseR,8,569,0,,,False,,,0,Tcm/Naive helper T cells
12,ChooseR,9,614,0,,,False,,,0,Tcm/Naive helper T cells
13,MultiK + scLENS,2,633,2,1.488595962524414,0.7660174110921136,False,S100A4;CD52,S100A4,1,Treg(diff)
14,MultiK + scLENS,3,1109,0,,,False,,,0,Tcm/Naive helper T cells
15,MultiK + scLENS,4,702,10,0.9818367958068848,0.7300206997863248,True,B2M;IL32;HLA-A;SH3BGRL3;HLA-B;S100A4;DUSP1;HLA-C;UBC;ACTB,HLA-A;HLA-C;B2M;HLA-B;ACTB,5,Tcm/Naive cytotoxic T cells
16,MultiK + scLENS,7,498,2,8.233942031860352,0.7775759338499661,False,CD8B;RP11-291B21.2,CD8B,1,Tcm/Naive cytotoxic T cells
17,ChooseR + scLENS,10,508,1,1.843675971031189,0.7920435253601513,False,S100A4,S100A4,1,Treg(diff)
18,ChooseR + scLENS,3,125,14,1.2177900075912476,0.7635997161107168,True,S100A4;CD52;TMSB4X;TMSB10;PFN1;SH3BGRL3;B2M;S100A6;IL32;MYL6;ATP5E;S100A10;HLA-A;FLNA,HLA-A;B2M;TMSB10,3,Tcm/Naive cytotoxic T cells
19,ChooseR + scLENS,4,1103,0,,,False,,,0,Tcm/Naive helper T cells
20,ChooseR + scLENS,5,208,17,1.0867040157318115,0.7673244434885472,True,HLA-A;B2M;IL32;ACTB;PFN1;HLA-B;S100A4;HLA-C;UBC;SH3BGRL3;TMSB4X;ARHGDIB;ACTG1;GAPDH;CLIC1;EIF1;LSP1,HLA-A;HLA-C;B2M;HLA-B;ACTB,5,Tcm/Naive cytotoxic T cells
21,ChooseR + scLENS,8,507,1,0.3302164077758789,0.7002101935788938,False,B2M,B2M,1,Tcm/Naive cytotoxic T cells
22,ChooseR + scLENS,9,492,2,7.764294624328613,0.7785042109907023,False,CD8B;RP11-291B21.2,CD8B,1,Tcm/Naive cytotoxic T cells
