,label_key,cluster,n_cells,n_markers,logfc_mean,auc_mean,is_meaningful,markers_str,pred_markers_str,pred_nmarkers,pred_ctype
0,cell_type,cd4-t-helper,1451,0,,,False,,,0,Tcm/Naive helper T cells
1,cell_type,memory-t,1539,1,2.0102126598358154,0.8135398394925599,False,S100A4,S100A4,1,Treg(diff)
2,cell_type,naive-cytotoxic,1470,2,8.795068740844727,0.7881730857326096,False,CD8B;RP11-291B21.2,CD8B,1,Tcm/Naive cytotoxic T cells
3,cell_type,naive-t,1348,0,,,False,,,0,Tcm/Naive helper T cells
4,cell_type,regulatory-t,1602,2,1.3175026178359985,0.7203699834573175,False,DUSP1;UBC,,0,Tcm/Naive helper T cells
5,MultiK,0,2884,2,1.876797080039978,0.778490688633044,False,S100A4;IL32,S100A4;IL32,2,Tem/Effector helper T cells
6,MultiK,1,2625,0,,,False,,,0,Tcm/Naive helper T cells
7,MultiK,4,1392,2,18.125041961669922,0.8019923993010148,False,CD8B;RP11-291B21.2,CD8B,1,Tcm/Naive cytotoxic T cells
8,MultiK,6,503,21,1.3815865516662598,0.7602265321410528,True,HLA-A;IL32;B2M;PFN1;S100A4;ACTB;SH3BGRL3;CD74;TMSB4X;ARHGDIB;HLA-C;HLA-B;HLA-DRB1;ACTG1;GAPDH;CLIC1;UBC;CD52;ANXA2;LSP1;PTPRCAP,HLA-A;HLA-C;B2M;HLA-B;ACTB,5,Tcm/Naive cytotoxic T cells
9,ChooseR,10,1329,2,1.8528660535812378,0.749481374056307,False,S100A4;ANXA1,S100A4;ANXA1,2,Tem/Effector helper T cells
10,ChooseR,12,1124,0,,,False,,,0,Tcm/Naive helper T cells
11,ChooseR,14,1478,0,,,False,,,0,Tcm/Naive helper T cells
12,ChooseR,16,1139,0,,,False,,,0,Tcm/Naive helper T cells
13,ChooseR,6,1382,2,8.741562843322754,0.8019144682855941,False,CD8B;RP11-291B21.2,CD8B,1,Tcm/Naive cytotoxic T cells
14,ChooseR,9,935,10,0.9326835870742798,0.7442736737934761,True,HLA-A;B2M;IL32;ACTB;PFN1;S100A4;SH3BGRL3;TMSB4X;HLA-C;GAPDH,HLA-A;B2M;HLA-C;ACTB,4,Tcm/Naive cytotoxic T cells
15,MultiK + scLENS,3,1551,1,2.002720832824707,0.8126302918250131,False,S100A4,S100A4,1,Treg(diff)
16,MultiK + scLENS,4,2348,0,,,False,,,0,Tcm/Naive helper T cells
17,MultiK + scLENS,5,2027,8,1.0224002599716187,0.7247373676962496,True,B2M;IL32;HLA-A;DUSP1;UBC;SH3BGRL3;S100A4;HLA-B,HLA-A;S100A4;HLA-B,3,Treg(diff)
18,MultiK + scLENS,6,1471,2,8.449257850646973,0.7859408056260617,False,CD8B;RP11-291B21.2,CD8B,1,Tcm/Naive cytotoxic T cells
19,ChooseR + scLENS,10,1314,1,1.7849047183990479,0.785639011640507,False,S100A4,S100A4,1,Treg(diff)
20,ChooseR + scLENS,5,239,13,1.1574394702911377,0.7794589275191991,True,TMSB4X;TMSB10;S100A4;CD52;SH3BGRL3;PFN1;S100A6;MYL6;GMFG;IL32;HLA-A;S100A10;B2M,HLA-A;B2M;TMSB10,3,Tcm/Naive cytotoxic T cells
21,ChooseR + scLENS,6,2606,0,,,False,,,0,Tcm/Naive helper T cells
22,ChooseR + scLENS,7,1159,2,1.6436201333999634,0.7136457636889042,False,FOS;DUSP1,,0,Tcm/Naive helper T cells
23,ChooseR + scLENS,8,606,14,0.9727233648300171,0.7591831179751679,True,HLA-A;B2M;IL32;ACTB;UBC;HLA-B;SH3BGRL3;HLA-C;PFN1;ARHGDIB;S100A4;TMSB4X;EIF1;DUSP1,HLA-A;HLA-C;B2M;HLA-B;ACTB,5,Tcm/Naive cytotoxic T cells
24,ChooseR + scLENS,9,1472,2,8.447507858276367,0.7857448881484308,False,CD8B;RP11-291B21.2,CD8B,1,Tcm/Naive cytotoxic T cells
