,label_key,cluster,n_cells,n_markers,logfc_mean,auc_mean,is_meaningful,markers_str,pred_markers_str,pred_nmarkers,pred_ctype
0,cell_type,cd4-t-helper,116,0,,,False,,,0,Tcm/Naive helper T cells
1,cell_type,naive-cytotoxic,1115,2,4.022687911987305,0.7896362206625005,False,CD8B;TMSB10,CD8B;TMSB10,2,Tcm/Naive cytotoxic T cells
2,cell_type,naive-t,1100,0,,,False,,,0,Tcm/Naive helper T cells
3,cell_type,regulatory-t,1162,10,1.3139675855636597,0.7467861517775459,False,S100A4;B2M;IL32;DUSP1;SH3BGRL3;HLA-A;UBC;FTH1;H3F3B;GAPDH,HLA-A;S100A4,2,Treg(diff)
4,MultiK,0,1411,0,,,False,,,0,Tcm/Naive helper T cells
5,MultiK,1,1123,13,1.206023097038269,0.7546529625651212,True,S100A4;IL32;B2M;DUSP1;HLA-A;SH3BGRL3;GAPDH;PFN1;FTH1;HLA-B;UBC;ACTB;HLA-C,HLA-A;HLA-C;B2M;HLA-B;ACTB,5,Tcm/Naive cytotoxic T cells
6,MultiK,3,1047,1,6.530699729919434,0.8842926269591248,False,CD8B,CD8B,1,Tcm/Naive cytotoxic T cells
7,ChooseR,11,1043,1,5.904090404510498,0.8730125518263221,False,CD8B,CD8B,1,Tcm/Naive cytotoxic T cells
8,ChooseR,5,333,19,1.4633216857910156,0.7694664373634456,True,HLA-A;B2M;IL32;S100A4;ACTB;PFN1;SH3BGRL3;HLA-B;TMSB4X;ARHGDIB;GAPDH;HLA-C;UBC;ACTG1;CD74;CLIC1;LSP1;COTL1;HLA-DRB1,HLA-A;HLA-C;B2M;HLA-B;ACTB,5,Tcm/Naive cytotoxic T cells
9,ChooseR,8,880,3,1.926558494567871,0.7394888821473916,False,S100A4;DUSP1;FOS,S100A4,1,Treg(diff)
10,ChooseR,9,1321,0,,,False,,,0,Tcm/Naive helper T cells
11,MultiK + scLENS,2,939,13,1.2523903846740723,0.7754789694685861,True,S100A4;IL32;B2M;HLA-A;SH3BGRL3;DUSP1;HLA-B;FTH1;GAPDH;UBC;PFN1;HLA-C;ACTB,HLA-A;HLA-C;B2M;HLA-B;ACTB,5,Tcm/Naive cytotoxic T cells
12,MultiK + scLENS,5,1443,0,,,False,,,0,Tcm/Naive helper T cells
13,MultiK + scLENS,6,1197,2,3.89143967628479,0.774037581358939,False,CD8B;TMSB10,CD8B;TMSB10,2,Tcm/Naive cytotoxic T cells
14,ChooseR + scLENS,2,964,13,1.2800997495651245,0.7770367662320805,True,S100A4;B2M;IL32;HLA-A;SH3BGRL3;DUSP1;HLA-B;FTH1;GAPDH;PFN1;UBC;HLA-C;ACTB,HLA-A;HLA-C;B2M;HLA-B;ACTB,5,Tcm/Naive cytotoxic T cells
15,ChooseR + scLENS,5,1416,0,,,False,,,0,Tcm/Naive helper T cells
16,ChooseR + scLENS,6,1129,2,3.9503543376922607,0.7846256261583464,False,CD8B;TMSB10,CD8B;TMSB10,2,Tcm/Naive cytotoxic T cells
